FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
7112,9949.501152,1,0,1,0,0,0,0.0163681834487333
7114,9949.534496,1,0,1,0,0,0,0.0162510913927186
7116,9949.567808,1,0,1,0,0,0,0.0162114966801356
7118,9949.601152,1,0,1,0,0,0,0.0163719060285488
7120,9949.634496,1,0,1,0,0,0,0.0163390796429031
7122,9949.667808,1,0,1,0,0,0,0.0162693658754492
7124,9949.701152,1,0,1,0,0,0,0.0161969447772205
7126,9949.734464,1,0,1,0,0,0,0.0161607342281062
7128,9949.767808,1,0,1,0,0,0,0.016166148889656
7130,9949.801152,1,0,1,0,0,0,0.0161404292472944
7132,9949.834464,1,0,1,0,0,0,0.0161241852626449
7134,9949.867808,1,0,1,0,0,0,0.0161113254414641
7136,9949.901152,1,0,1,0,0,0,0.0161062491962612
7138,9949.934464,1,0,1,0,0,0,0.0161201242664826
7140,9949.967808,1,0,1,0,0,0,0.0161323072549696
7142,9950.00112,1,0,1,0,0,0,0.0161103101924235
7144,9950.034464,1,0,1,0,0,0,0.0160906820443055
7146,9950.067808,1,0,1,0,0,0,0.016173594049287
7148,9950.10112,1,0,1,0,0,0,0.0160920357096929
7150,9950.134464,1,0,1,0,0,0,0.0161722403838995
7152,9950.167776,1,0,1,0,0,0,0.0160998192856708
7154,9950.20112,1,0,1,0,0,0,0.0161282462588073
7156,9950.234464,1,0,1,0,0,0,0.0161637799752279
7158,9950.267776,1,0,1,0,0,0,0.0162020210224235
7160,9950.30112,1,0,1,0,0,0,0.0162246949176633
7162,9950.334464,1,0,1,0,0,0,0.0162182650070729
7164,9950.367776,1,0,1,0,0,0,0.0161705483021652
7166,9950.40112,1,0,1,0,0,0,0.0161563348155969
7168,9950.434432,1,0,1,0,0,0,0.0161938990300987
7170,9950.467776,1,0,1,0,0,0,0.0162098045984013
7172,9950.50112,1,0,1,0,0,0,0.01623044799556
7174,9950.534432,1,0,1,0,0,0,0.0161671641386966
7176,9950.567776,1,0,1,0,0,0,0.016178331878143
7178,9950.60112,1,0,1,0,0,0,0.0161644568079217
7180,9950.634432,1,0,1,0,0,0,0.0161448286598036
7182,9950.667776,1,0,1,0,0,0,0.0161593805627187
7184,9950.701088,1,0,1,0,0,0,0.0161840849560397
7186,9950.734432,1,0,1,0,0,0,0.0161607342281062
7188,9950.767776,1,0,1,0,0,0,0.0162186034234198
7190,9950.801088,1,0,1,0,0,0,0.0161911916993238
7192,9950.834432,1,0,1,0,0,0,0.0161113254414641
7194,9950.867776,1,0,1,0,0,0,0.0162128503455231
7196,9950.901088,1,0,1,0,0,0,0.0161837465396929
7198,9950.934432,1,0,1,0,0,0,0.0162013441897297
7200,9950.967744,1,0,1,0,0,0,0.0162016826060766
7202,9951.001088,1,0,1,0,0,0,0.016198298442608
7204,9951.034432,1,0,1,0,0,0,0.0162030362714641
7206,9951.067744,1,0,1,0,0,0,0.0162274022484382
7208,9951.101088,1,0,1,0,0,0,0.0162246949176633
7210,9951.134432,1,0,1,0,0,0,0.0162114966801356
7212,9951.167744,1,0,1,0,0,0,0.0161813776252648
7214,9951.201088,1,0,1,0,0,0,0.016208112516667
7216,9951.234432,1,0,1,0,0,0,0.0162142040109105
7218,9951.267744,1,0,1,0,0,0,0.0162114966801356
7220,9951.301088,1,0,1,0,0,0,0.0161208010991763
7222,9951.334432,1,0,1,0,0,0,0.0161620878934936
7224,9951.367744,1,0,1,0,0,0,0.0162406004859659
7226,9951.401088,1,0,1,0,0,0,0.01621318876187
7228,9951.434432,1,0,1,0,0,0,0.0161576884809844
7230,9951.467744,1,0,1,0,0,0,0.0161715635512058
7232,9951.501056,1,0,1,0,0,0,0.0160988040366302
7234,9951.534432,1,0,1,0,0,0,0.0161664873060028
7236,9951.567744,1,0,1,0,0,0,0.0161776550454493
7238,9951.601056,1,0,1,0,0,0,0.0161451670761504
7240,9951.634432,1,0,1,0,0,0,0.0161722403838995
7242,9951.667744,1,0,1,0,0,0,0.0162003289406892
7244,9951.701056,1,0,1,0,0,0,0.0161482128232722
7246,9951.734432,1,0,1,0,0,0,0.0161962679445268
7248,9951.767712,1,0,1,0,0,0,0.0162050667695452
7250,9951.801056,1,0,1,0,0,0,0.0161658104733091
7252,9951.834432,1,0,1,0,0,0,0.0162003289406892
