FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
7125,270.303808,2,0,1,0,0,0,0.0240316216234509
7127,270.337152,2,0,1,0,0,0,0.0239791670896871
7129,270.370464,2,0,1,0,0,0,0.0238525993759603
7131,270.403808,2,0,1,0,0,0,0.0239409260424916
7133,270.437152,2,0,1,0,0,0,0.0240515881879158
7135,270.470464,2,0,1,0,0,0,0.0239602157742628
7137,270.503808,2,0,1,0,0,0,0.0240377131176944
7139,270.53712,2,0,1,0,0,0,0.0240292527090229
7141,270.570464,2,0,1,0,0,0,0.0240989664764767
7143,270.603808,2,0,1,0,0,0,0.0242350098479157
7145,270.63712,2,0,1,0,0,0,0.0242576837431555
7147,270.670464,2,0,1,0,0,0,0.024246516003709
7149,270.703808,2,0,1,0,0,0,0.0244502426445207
7151,270.73712,2,0,1,0,0,0,0.0242691898989489
7153,270.770464,2,0,1,0,0,0,0.0241345001928973
7155,270.803776,2,0,1,0,0,0,0.0242126743690227
7157,270.83712,2,0,1,0,0,0,0.0241196098736353
7159,270.870464,2,0,1,0,0,0,0.023947355953082
7161,270.903776,2,0,1,0,0,0,0.0240377131176944
7163,270.93712,2,0,1,0,0,0,0.0239656304358126
7165,270.970432,2,0,1,0,0,0,0.0238485383797979
7167,271.003776,2,0,1,0,0,0,0.0238336480605359
7169,271.03712,2,0,1,0,0,0,0.0237930380989123
7171,271.070432,2,0,1,0,0,0,0.0236634246380637
7173,271.103776,2,0,1,0,0,0,0.0236634246380637
7175,271.13712,2,0,1,0,0,0,0.0238322943951485
7177,271.170432,2,0,1,0,0,0,0.0237876234373625
7179,271.203776,2,0,1,0,0,0,0.023769010538285
7181,271.23712,2,0,1,0,0,0,0.0238123278306835
7183,271.270432,2,0,1,0,0,0,0.0236921900275471
7185,271.303776,2,0,1,0,0,0,0.0236488727351486
7187,271.337088,2,0,1,0,0,0,0.0236475190697611
7189,271.370432,2,0,1,0,0,0,0.0237588580478791
7191,271.403776,2,0,1,0,0,0,0.0236803454554069
7193,271.437088,2,0,1,0,0,0,0.0235771284696136
7195,271.470432,2,0,1,0,0,0,0.0235564850724549
7197,271.503776,2,0,1,0,0,0,0.0235838967965509
7199,271.537088,2,0,1,0,0,0,0.0234918475502041
7201,271.570432,2,0,1,0,0,0,0.0235618997340048
7203,271.603776,2,0,1,0,0,0,0.0234864328886543
7205,271.637088,2,0,1,0,0,0,0.023219760807326
7207,271.670432,2,0,1,0,0,0,0.0234065666307945
7209,271.703744,2,0,1,0,0,0,0.0234187496192816
7211,271.737088,2,0,1,0,0,0,0.0232701848430087
7213,271.770432,2,0,1,0,0,0,0.023281690998802
7215,271.803744,2,0,1,0,0,0,0.0235172287762188
7217,271.837088,2,0,1,0,0,0,0.0234052129654071
7219,271.870432,2,0,1,0,0,0,0.0235155366944845
7221,271.903744,2,0,1,0,0,0,0.0235896498744475
7223,271.937088,2,0,1,0,0,0,0.0236400739101302
7225,271.970432,2,0,1,0,0,0,0.0238637671154067
7227,272.003744,2,0,1,0,0,0,0.0239338192992074
7229,272.037088,2,0,1,0,0,0,0.0237954070133404
7231,272.070432,2,0,1,0,0,0,0.023640412326477
7233,272.103744,2,0,1,0,0,0,0.0235947261196505
7235,272.137088,2,0,1,0,0,0,0.0236630862217169
7237,272.170432,2,0,1,0,0,0,0.0236816991207943
7239,272.203744,2,0,1,0,0,0,0.0235321190954808
7241,272.237056,2,0,1,0,0,0,0.023449883923193
7243,272.270432,2,0,1,0,0,0,0.0235500551618645
7245,272.303744,2,0,1,0,0,0,0.0236062322754438
7247,272.337056,2,0,1,0,0,0,0.0236715466303884
7249,272.370432,2,0,1,0,0,0,0.0238417700528606
7251,272.403744,2,0,1,0,0,0,0.0237859313556282
7253,272.437056,2,0,1,0,0,0,0.0236661319688386
7255,272.470432,2,0,1,0,0,0,0.0236563178947796
7257,272.503712,2,0,1,0,0,0,0.0235371953406837
7259,272.537056,2,0,1,0,0,0,0.0235145214454439
7261,272.570432,2,0,1,0,0,0,0.0236143542677685
7263,272.603712,2,0,1,0,0,0,0.0235771284696136
7265,272.637056,2,0,1,0,0,0,0.023511814114669
7267,272.670432,2,0,1,0,0,0,0.0235876193763664
7269,272.703712,2,0,1,0,0,0,0.0234908323011635
7271,272.737056,2,0,1,0,0,0,0.023417734370241
7273,272.770432,2,0,1,0,0,0,0.023511814114669
7275,272.803712,2,0,1,0,0,0,0.0235155366944845
7277,272.837056,2,0,1,0,0,0,0.0234478534251118
7279,272.870368,2,0,1,0,0,0,0.0234451460943369
7281,272.903712,2,0,1,0,0,0,0.0233429443575842
