FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
7105,1938.523488,2,0,1,0,0,0,0.0131677800564478
7107,1938.5568,2,0,1,0,0,0,0.0132530609758574
7109,1938.590144,2,0,1,0,0,0,0.0131454445775549
7111,1938.623488,2,0,1,0,0,0,0.0132060211036434
7113,1938.6568,2,0,1,0,0,0,0.0132418932364109
7115,1938.690144,2,0,1,0,0,0,0.0132012832747873
7117,1938.723488,2,0,1,0,0,0,0.0131671032237541
7119,1938.7568,2,0,1,0,0,0,0.0131857161228316
7121,1938.790144,2,0,1,0,0,0,0.0132222650882928
7123,1938.823456,2,0,1,0,0,0,0.0131613501458574
7125,1938.8568,2,0,1,0,0,0,0.0131759020487726
7127,1938.890144,2,0,1,0,0,0,0.0131782709632006
7129,1938.923456,2,0,1,0,0,0,0.0132307254969644
7131,1938.9568,2,0,1,0,0,0,0.0131931612824626
7133,1938.990144,2,0,1,0,0,0,0.0131972222786249
7135,1939.023456,2,0,1,0,0,0,0.0131231090986619
7137,1939.0568,2,0,1,0,0,0,0.0132033137728685
7139,1939.090144,2,0,1,0,0,0,0.0131254780130899
7141,1939.123456,2,0,1,0,0,0,0.0131325847563741
7143,1939.1568,2,0,1,0,0,0,0.0131491671573704
7145,1939.190112,2,0,1,0,0,0,0.013189777118994
7147,1939.223456,2,0,1,0,0,0,0.013207036352684
7149,1939.2568,2,0,1,0,0,0,0.0132510304777762
7151,1939.290112,2,0,1,0,0,0,0.013192146033422
7153,1939.323456,2,0,1,0,0,0,0.0131985759440124
7155,1939.3568,2,0,1,0,0,0,0.0132121125978869
7157,1939.390112,2,0,1,0,0,0,0.0131386762506176
7159,1939.423456,2,0,1,0,0,0,0.0131336000054147
7161,1939.456768,2,0,1,0,0,0,0.013127846927518
7163,1939.490112,2,0,1,0,0,0,0.0131660879747135
7165,1939.523456,2,0,1,0,0,0,0.0131454445775549
7167,1939.556768,2,0,1,0,0,0,0.0130919747947505
7169,1939.590112,2,0,1,0,0,0,0.0131613501458574
7171,1939.623424,2,0,1,0,0,0,0.0130716698139387
7173,1939.656768,2,0,1,0,0,0,0.0131400299160051
7175,1939.690112,2,0,1,0,0,0,0.0130848680514664
7177,1939.723424,2,0,1,0,0,0,0.013130215841946
7179,1939.756768,2,0,1,0,0,0,0.0131488287410235
7181,1939.790112,2,0,1,0,0,0,0.0132046674382559
7183,1939.823424,2,0,1,0,0,0,0.0131312310909866
7185,1939.856768,2,0,1,0,0,0,0.0131339384217615
7187,1939.890112,2,0,1,0,0,0,0.0131471366592892
7189,1939.923424,2,0,1,0,0,0,0.0132496768123887
7191,1939.956768,2,0,1,0,0,0,0.0131342768381084
7193,1939.99008,2,0,1,0,0,0,0.0131183712698058
7195,1940.023424,2,0,1,0,0,0,0.0131437524958206
7197,1940.056768,2,0,1,0,0,0,0.0131769172978132
7199,1940.09008,2,0,1,0,0,0,0.0131819935430161
7201,1940.123424,2,0,1,0,0,0,0.0131237859313556
7203,1940.156768,2,0,1,0,0,0,0.0131769172978132
7205,1940.19008,2,0,1,0,0,0,0.013065916736042
7207,1940.223424,2,0,1,0,0,0,0.0131183712698058
7209,1940.256736,2,0,1,0,0,0,0.0131728563016508
7211,1940.29008,2,0,1,0,0,0,0.0131363073361896
7213,1940.323424,2,0,1,0,0,0,0.0131390146669645
7215,1940.356736,2,0,1,0,0,0,0.0130940052928317
7217,1940.39008,2,0,1,0,0,0,0.0131088956120936
